Condicion;Tiempo;Densidad
72_C;72;3.55
72_C;144;3.27
72_C;216;2.89
72_C;288;2.55
72_C;360;2.34
72_C;432;2.14
72_C;504;1.77
82_C;48;3.52
82_C;96;3.35
82_C;144;2.50
82_C;192;2.10
82_C;240;1.90
82_C;288;1.47
82_C;336;1.19
92_C;24;3.46
92_C;48;2.91
92_C;72;2.27
92_C;96;1.49
92_C;120;1.20
92_C;144;1.04
92_C;168;0.65
